ID: 1, LastName: Jankunas, BirthYear: 1994, PointsPerGame: 15.20, PrimeNumberCount: 301
ID: 3, LastName: Sabonis, BirthYear: 1976, PointsPerGame: 18.50, PrimeNumberCount: 298
ID: 8, LastName: Kleiza, BirthYear: 1978, PointsPerGame: 16.10, PrimeNumberCount: 298
ID: 11, LastName: Kleiza, BirthYear: 1978, PointsPerGame: 16.10, PrimeNumberCount: 298
ID: 14, LastName: Kleiza, BirthYear: 1978, PointsPerGame: 16.10, PrimeNumberCount: 298
ID: 17, LastName: Kleiza, BirthYear: 1978, PointsPerGame: 16.10, PrimeNumberCount: 298
ID: 27, LastName: Petravicius, BirthYear: 1984, PointsPerGame: 16.90, PrimeNumberCount: 299
ID: 32, LastName: Petravicius, BirthYear: 1984, PointsPerGame: 16.90, PrimeNumberCount: 299
ID: 37, LastName: Petravicius, BirthYear: 1984, PointsPerGame: 16.90, PrimeNumberCount: 299
ID: 38, LastName: Bukauskas, BirthYear: 1976, PointsPerGame: 15.20, PrimeNumberCount: 298
ID: 52, LastName: Kozlov, BirthYear: 1995, PointsPerGame: 15.40, PrimeNumberCount: 301
ID: 54, LastName: Ochoa, BirthYear: 1998, PointsPerGame: 16.30, PrimeNumberCount: 302
ID: 53, LastName: Abramovich, BirthYear: 1992, PointsPerGame: 18.10, PrimeNumberCount: 300
ID: 55, LastName: Kovalenko, BirthYear: 1994, PointsPerGame: 20.50, PrimeNumberCount: 301
ID: 56, LastName: Liu, BirthYear: 1996, PointsPerGame: 19.00, PrimeNumberCount: 301
ID: 57, LastName: Garcia, BirthYear: 1989, PointsPerGame: 22.40, PrimeNumberCount: 300
ID: 58, LastName: Nguyen, BirthYear: 1987, PointsPerGame: 17.20, PrimeNumberCount: 300
ID: 59, LastName: Petrov, BirthYear: 1993, PointsPerGame: 15.90, PrimeNumberCount: 301
ID: 60, LastName: Santos, BirthYear: 1991, PointsPerGame: 20.30, PrimeNumberCount: 300
ID: 61, LastName: Meyer, BirthYear: 1990, PointsPerGame: 21.60, PrimeNumberCount: 300
ID: 62, LastName: Fernandez, BirthYear: 1988, PointsPerGame: 18.50, PrimeNumberCount: 300
ID: 63, LastName: Almeida, BirthYear: 1997, PointsPerGame: 16.70, PrimeNumberCount: 302
ID: 64, LastName: Sokolov, BirthYear: 1992, PointsPerGame: 19.80, PrimeNumberCount: 300
ID: 65, LastName: Kumar, BirthYear: 1994, PointsPerGame: 22.10, PrimeNumberCount: 301
ID: 66, LastName: Smithson, BirthYear: 1989, PointsPerGame: 17.90, PrimeNumberCount: 300
ID: 67, LastName: Roy, BirthYear: 1993, PointsPerGame: 20.90, PrimeNumberCount: 301
ID: 68, LastName: Murphy, BirthYear: 1991, PointsPerGame: 18.30, PrimeNumberCount: 300
ID: 69, LastName: Parker, BirthYear: 1990, PointsPerGame: 15.60, PrimeNumberCount: 300
